Bx	Pth	Multipactor Order
0.002630	72652.000000	44.249600
0.003311	69526.900000	34.426300
0.001000	72652.000000	67.800500
0.010000	55858.000000	11.241000
0.005754	62889.400000	20.665300
0.007244	62108.100000	16.276400
0.010000	56639.300000	10.880100
0.010000	55858.000000	11.299800
0.007586	58983.100000	15.883500
0.005754	62108.100000	19.671300
0.010471	56639.300000	10.709600
0.001995	80465.000000	54.695000
0.004169	66014.500000	27.860700
0.010471	55076.700000	10.903100
0.003467	66795.700000	35.675300
0.005754	62889.400000	19.410600
0.007586	61326.900000	15.558700
0.002630	75777.200000	41.673900
0.010471	55076.700000	12.037900
0.010471	55076.700000	10.805400
0.001000	72652.000000	58.993600
0.007586	58983.100000	15.532900
0.006026	63670.700000	18.306000
0.001585	83590.100000	69.441500
0.010471	55076.700000	10.172600
0.001259	80465.000000	68.352500
0.004365	65233.200000	26.406100
0.010965	53514.200000	10.488200
0.010965	51951.700000	10.409800
0.003467	66795.700000	38.037100
0.007586	60545.600000	16.846900
0.002630	72652.000000	39.047200
0.006026	61326.900000	19.675500
0.010965	51951.700000	10.001400
0.010965	53514.200000	10.282100
0.001995	82027.500000	58.412600
0.007586	59764.300000	16.239800
0.010965	53514.200000	10.337400
0.004365	64451.900000	30.642900
0.006026	61326.900000	19.860900
0.001000	72652.000000	62.559200
0.011482	53514.200000	9.855650
0.007943	62889.400000	15.905200
0.011482	53514.200000	10.006400
0.002630	74214.600000	41.749100
0.003467	67964.300000	33.421300
0.011482	52732.900000	9.557610
0.006026	60545.600000	19.110500
0.001259	82027.500000	73.695200
0.011482	54295.500000	9.427970
0.007943	60545.600000	14.432300
0.001585	85152.700000	67.056000
0.006026	62889.400000	18.916700
0.011482	53514.200000	9.758190
0.001995	82027.500000	60.356700
0.004365	64451.900000	31.684500
0.012023	55076.700000	8.825160
0.007943	59764.300000	15.054400
0.003467	65233.200000	37.051100
0.012023	55858.000000	9.578640
0.001000	72652.000000	65.113100
0.006310	62889.400000	17.858000
0.012023	55076.700000	9.131310
0.007943	61326.900000	15.204800
0.002754	72652.000000	42.277300
0.012023	56639.300000	10.164100
0.013183	53514.200000	8.945700
0.013183	49607.800000	8.632210
0.012023	56639.300000	9.497090
0.006310	62108.100000	17.839600
0.001259	80465.000000	71.896000
0.013183	50389.100000	9.239930
0.003467	67964.300000	30.553100
0.004365	64451.900000	27.983900
0.012589	54295.500000	8.856430
0.013183	52732.900000	8.966310
0.012589	52732.900000	8.870080
0.001585	85152.700000	71.022200
0.013804	51170.400000	8.537340
0.012589	53514.200000	8.872130
0.002754	72652.000000	38.695600
0.013804	51951.700000	8.417550
0.012589	52732.900000	9.366430
0.006310	62108.100000	19.909800
0.013804	51951.700000	8.356920
0.016596	49607.800000	6.768740
0.002089	77339.800000	69.749300
0.012589	53514.200000	8.681270
0.016596	48826.600000	6.670270
0.013804	51951.700000	8.100870
0.003631	67964.300000	37.858400
0.013183	51170.400000	8.226750
0.016596	49607.800000	6.740400
0.004365	64451.900000	29.164600
0.001000	72652.000000	59.938600
0.020893	46482.700000	5.505590
0.013804	52732.900000	8.235860
0.020893	47264.000000	5.444660
0.017378	50389.100000	6.562220
0.014454	52732.900000	8.063440
0.021878	45701.500000	5.313440
0.017378	48826.600000	6.826450
0.021878	45701.500000	5.461180
0.014454	55076.700000	8.337670
0.021878	43357.600000	5.210440
0.017378	49607.800000	6.861140
0.021878	44138.900000	5.589980
0.001259	80465.000000	71.000400
0.017378	51170.400000	6.579320
0.014454	54295.500000	8.310460
0.021878	44920.200000	5.436280
