By	Pth	Multipactor Order
0.023988	47264.000000	39.911100
0.104713	46482.700000	39.909200
0.054954	47264.000000	47.075500
0.087096	46482.700000	43.366500
0.036308	47264.000000	38.497200
0.025119	47264.000000	40.313700
0.104713	46482.700000	42.638400
0.054954	46482.700000	42.707900
0.025119	46482.700000	43.042300
0.087096	47264.000000	40.920200
0.036308	46482.700000	42.269300
0.104713	46482.700000	43.341300
0.054954	47264.000000	40.675200
0.036308	47264.000000	41.450900
0.165959	47264.000000	41.232300
0.087096	47264.000000	40.300000
0.109648	47264.000000	44.626200
0.057544	47264.000000	40.350500
0.036308	48045.300000	43.265900
0.165959	46482.700000	43.577100
0.087096	46482.700000	43.303300
0.109648	46482.700000	45.168400
0.036308	45701.500000	39.336600
0.057544	47264.000000	43.287000
0.091201	46482.700000	40.891000
0.165959	46482.700000	41.914400
0.109648	46482.700000	44.532200
0.057544	46482.700000	41.994700
0.038019	48045.300000	43.314700
0.091201	47264.000000	42.839900
0.165959	48826.600000	39.997400
0.109648	47264.000000	42.132500
0.038019	45701.500000	40.717500
0.057544	47264.000000	42.119100
0.091201	47264.000000	41.300000
0.173780	45701.500000	42.353200
0.109648	46482.700000	44.364400
0.057544	47264.000000	45.179800
0.038019	46482.700000	43.428000
0.091201	46482.700000	40.733600
0.114815	46482.700000	42.977000
0.173780	48045.300000	44.262000
0.038019	46482.700000	43.629600
0.060256	46482.700000	44.145900
0.173780	47264.000000	44.386300
0.114815	46482.700000	41.258000
0.091201	47264.000000	40.430600
0.038019	47264.000000	38.784100
0.060256	46482.700000	41.549400
0.173780	47264.000000	42.736700
0.095499	46482.700000	41.607100
0.114815	46482.700000	43.667600
0.039811	47264.000000	44.237000
0.060256	47264.000000	43.293700
0.173780	47264.000000	40.690700
0.039811	45701.500000	41.453600
0.114815	47264.000000	41.948400
0.060256	46482.700000	44.563800
0.095499	47264.000000	41.549900
0.039811	47264.000000	44.330100
0.181970	46482.700000	42.245000
0.114815	46482.700000	40.012700
0.095499	46482.700000	44.379000
0.060256	47264.000000	43.499800
0.181970	47264.000000	44.719100
0.120226	45701.500000	42.035500
0.095499	47264.000000	44.253900
0.263027	46482.700000	43.294600
0.063096	46482.700000	42.171300
0.120226	46482.700000	39.516700
0.181970	46482.700000	43.517900
0.095499	47264.000000	42.853100
0.063096	46482.700000	42.102800
0.263027	44920.200000	44.897200
0.120226	47264.000000	38.458000
0.100000	46482.700000	43.051800
0.181970	47264.000000	44.885000
0.063096	47264.000000	44.600200
0.100000	46482.700000	42.179400
0.120226	46482.700000	43.354300
0.181970	46482.700000	40.043800
0.263027	45701.500000	41.268000
0.063096	46482.700000	40.087300
0.100000	46482.700000	41.666200
0.190546	46482.700000	43.382200
0.120226	45701.500000	44.337500
0.275423	46482.700000	41.943300
0.100000	47264.000000	44.350200
0.190546	46482.700000	43.840300
0.416869	46482.700000	43.929600
0.125893	46482.700000	43.474300
0.100000	46482.700000	43.265300
0.275423	47264.000000	43.539400
0.190546	46482.700000	42.231800
0.125893	47264.000000	40.074200
0.416869	46482.700000	43.341400
0.125893	46482.700000	38.081100
0.190546	47264.000000	43.241200
0.275423	47264.000000	41.489000
