Bx	Pth
0.015264	27810.700000
0.012649	27185.700000
0.021210	23905.700000
0.019307	27810.700000
0.010000	27185.700000
0.023300	24218.200000
0.013895	27185.700000
0.021210	23905.700000
0.011514	27810.700000
0.019307	28435.800000
0.023300	22968.200000
0.021210	23593.200000
0.013895	26093.300000
0.019307	28435.800000
0.010481	27810.700000
0.023300	23593.200000
0.025595	29685.900000
0.012649	26718.300000
0.022230	22968.200000
0.020236	26405.800000
0.011514	26718.300000
0.024421	26405.800000
0.025595	29060.800000
0.022230	23280.700000
0.012649	27185.700000
0.024421	26405.800000
0.020236	26093.300000
0.022230	22655.700000
0.028118	27810.700000
0.020236	24843.300000
0.030888	19218.100000
0.025595	28435.800000
0.028118	27185.700000
0.024421	25468.300000
0.033932	17968.100000
0.030888	19218.100000
0.030888	19843.100000
0.037276	22030.700000
0.033932	17655.600000
0.028118	26405.800000
0.026827	29685.900000
0.037276	22655.700000
0.032375	18280.600000
0.033932	17968.100000
0.029471	22343.200000
0.011514	26718.300000
0.026827	30935.900000
0.037276	21093.200000
0.029471	22968.200000
0.035565	18280.600000
0.032375	17968.100000
0.010481	26718.300000
0.035565	18905.600000
0.032375	18905.600000
0.044984	30310.900000
0.029471	23280.700000
0.039069	26718.300000
0.044984	35311.100000
0.040949	38436.200000
0.026827	30310.900000
0.035565	18280.600000
0.044984	30310.900000
0.049417	26405.800000
0.059636	9765.310000
0.054287	14217.900000
0.047149	30310.900000
0.059636	9452.800000
0.049417	24530.800000
0.039069	27185.700000
0.054287	14530.400000
0.040949	39686.300000
0.059636	9296.550000
0.054287	15155.400000
0.039069	30310.900000
0.047149	30935.900000
0.049417	24218.200000
0.062506	8827.780000
0.047149	31561.000000
0.010481	27185.700000
0.056899	11015.300000
0.062506	8046.500000
0.051795	18905.600000
0.065513	7265.200000
0.071969	6523.320000
0.065513	7577.720000
0.056899	11484.100000
0.051795	18905.600000
0.079060	6952.690000
0.062506	8202.750000
0.071969	6796.430000
0.056899	11796.600000
0.051795	19218.100000
0.079060	7108.950000
0.065513	7108.950000
0.086851	8827.780000
0.095410	11171.600000
0.040949	39686.300000
0.071969	6601.450000
0.068665	6796.430000
0.079060	7108.950000
0.068665	7108.950000
0.042919	42811.400000
0.086851	8671.520000
0.075431	6523.320000
0.082864	7733.980000
0.095410	11796.600000
0.075431	6952.690000
0.068665	6952.690000
0.042919	39061.200000
0.086851	8827.780000
0.095410	11327.900000
0.075431	6679.570000
0.042919	39686.300000
0.082864	7733.980000
0.100000	13359.100000
0.100000	12421.600000
0.091030	10077.800000
0.082864	7890.240000
0.100000	12890.400000
0.091030	10077.800000
0.091030	9765.310000
