Bx	Pth
0.021049	23905.700000
0.006579	28435.800000
0.021049	23905.700000
0.002310	30310.900000
0.021049	23905.700000
0.021049	23593.200000
0.006579	27810.700000
0.013219	25468.300000
0.023645	23905.700000
0.003678	29685.900000
0.023645	23593.200000
0.013219	25468.300000
0.023645	23593.200000
0.023645	24530.800000
0.006579	27810.700000
0.013219	26405.800000
0.023645	23905.700000
0.026561	29685.900000
0.026561	29685.900000
0.026561	29685.900000
0.006579	27810.700000
0.002310	30310.900000
0.013219	25468.300000
0.026561	29685.900000
0.003678	30310.900000
0.026561	29685.900000
0.013219	25780.800000
0.029836	22030.700000
0.029836	22343.200000
0.029836	22655.700000
0.007391	28435.800000
0.029836	22343.200000
0.014850	27185.700000
0.029836	22655.700000
0.033516	17968.100000
0.014850	28435.800000
0.033516	17655.600000
0.033516	17655.600000
0.033516	18280.600000
0.003678	29685.900000
0.007391	27185.700000
0.014850	27810.700000
0.033516	17968.100000
0.037649	22030.700000
0.037649	21093.200000
0.014850	27810.700000
0.037649	21718.200000
0.037649	22655.700000
0.014850	27185.700000
0.003678	29685.900000
0.037649	22030.700000
0.042292	42811.400000
0.016681	25468.300000
0.042292	43436.400000
0.002310	29685.900000
0.042292	39686.300000
0.042292	39686.300000
0.007391	27185.700000
0.042292	40936.300000
0.016681	24218.200000
0.047508	30935.900000
0.047508	30935.900000
0.047508	29685.900000
0.047508	30310.900000
0.016681	25780.800000
0.047508	31561.000000
0.053367	16093.000000
0.053367	15780.500000
0.053367	15468.000000
0.053367	15780.500000
0.053367	15780.500000
0.007391	27810.700000
0.059948	9140.290000
0.059948	9609.060000
0.059948	9452.800000
0.016681	24218.200000
0.059948	9296.550000
0.004132	29685.900000
0.059948	9140.290000
0.067342	7108.950000
0.067342	7108.950000
0.016681	24843.300000
0.067342	6952.690000
0.067342	7265.200000
0.067342	7108.950000
0.075646	6679.570000
0.018738	27810.700000
0.075646	6679.570000
0.075646	6796.430000
0.002310	30310.900000
0.075646	6952.690000
0.007391	27185.700000
0.075646	6679.570000
0.084975	8202.750000
0.018738	27185.700000
0.084975	8202.750000
0.084975	8046.500000
0.018738	27810.700000
0.084975	8202.750000
0.084975	8202.750000
0.095455	10702.800000
0.095455	11171.600000
0.018738	29060.800000
0.120450	16093.000000
0.120450	13905.400000
0.095455	11015.300000
0.120450	30310.900000
0.135305	14530.400000
0.135305	18905.600000
0.135305	17655.600000
0.095455	11484.100000
0.135305	13592.900000
0.135305	0.000000
0.151991	26093.300000
0.151991	14842.900000
0.095455	11327.900000
0.151991	16718.000000
0.107227	11171.600000
0.151991	21405.700000
0.107227	10702.800000
0.151991	32186.000000
0.107227	16718.000000
0.170735	26718.300000
0.107227	13202.900000
0.170735	32811.000000
0.107227	15155.400000
0.170735	26093.300000
0.008302	27185.700000
0.120450	26718.300000
0.170735	39061.200000
0.170735	0.000000
0.120450	14217.900000
0.191791	0.000000
0.191791	0.000000
0.215443	0.000000
0.191791	0.000000
0.191791	0.000000
0.191791	0.000000
0.215443	217486.000000
0.215443	282489.000000
0.242013	198746.000000
0.215443	0.000000
0.215443	0.000000
0.385353	0.000000
0.432876	0.000000
0.432876	0.000000
0.242013	347491.000000
0.432876	0.000000
0.432876	0.000000
0.432876	0.000000
0.486260	0.000000
0.486260	0.000000
0.486260	0.000000
0.486260	0.000000
0.242013	277489.000000
0.486260	0.000000
0.546228	0.000000
0.546228	0.000000
0.546228	0.000000
0.546228	0.000000
0.546228	0.000000
0.613591	0.000000
0.613591	0.000000
0.613591	0.000000
0.613591	0.000000
0.613591	0.000000
0.689261	0.000000
0.689261	0.000000
0.689261	0.000000
0.689261	0.000000
0.242013	183746.000000
0.689261	0.000000
0.774264	0.000000
0.774264	0.000000
0.774264	0.000000
0.774264	0.000000
0.774264	0.000000
0.869749	0.000000
0.869749	0.000000
0.869749	0.000000
0.242013	282489.000000
0.869749	0.000000
0.271859	0.000000
0.869749	0.000000
0.977010	0.000000
0.977010	0.000000
0.271859	0.000000
0.977010	0.000000
0.271859	0.000000
0.977010	0.000000
0.271859	0.000000
0.977010	0.000000
1.097499	0.000000
0.271859	0.000000
1.097499	0.000000
1.097499	0.000000
1.097499	0.000000
1.097499	0.000000
1.232847	0.000000
1.232847	0.000000
1.232847	0.000000
1.232847	0.000000
1.232847	0.000000
1.384886	0.000000
1.384886	0.000000
1.384886	0.000000
1.384886	0.000000
1.384886	0.000000
1.555676	0.000000
0.305386	645600.000000
1.555676	0.000000
1.555676	0.000000
0.008302	27185.700000
0.305386	594979.000000
